fmun;fregi;ano;hom_doloso;lesao_corp_morte;latrocinio;cvli;hom_por_interv_policial;letalidade_violenta;tentat_hom;lesao_corp_dolosa;estupro;apreensao_drogas;posse_drogas;trafico_drogas;apreensao_drogas_sem_autor;recuperacao_veiculos;apf;aaapai;cmp;cmba;registro_ocorrencias
São Gonçalo;Metropolitana do Rio de Janeiro;2022;11;0;0;11;4;15;3;139;21;29;4;24;1;47;72;4;31;1;2013
São João da Barra;Norte Fluminense;2022;0;0;0;0;0;0;0;16;1;7;2;4;1;1;17;0;1;0;159
São João de Meriti;Metropolitana do Rio de Janeiro;2022;7;0;1;8;3;11;3;132;14;12;1;11;0;63;44;3;15;0;1467
São José de Ubá;Noroeste Fluminense;2022;0;0;0;0;0;0;0;3;1;2;2;0;0;0;1;0;0;0;17
São José do Vale do Rio Preto;Centro Fluminense;2022;0;0;0;0;0;0;0;8;0;6;6;0;0;0;2;0;0;0;40
São Pedro da Aldeia;Baixadas Litorâneas;2022;0;0;0;0;0;0;1;26;6;17;4;8;5;6;18;5;7;0;254
São Sebastião do Alto;Centro Fluminense;2022;0;0;0;0;0;0;0;2;0;1;1;0;0;0;1;0;0;0;17
Sapucaia;Centro Fluminense;2022;0;0;0;0;0;0;1;3;1;11;9;2;0;2;0;0;0;0;51
Saquarema;Baixadas Litorâneas;2022;1;1;0;2;0;2;4;43;5;11;2;7;2;1;9;1;2;0;276
Seropédica;Metropolitana do Rio de Janeiro;2022;2;0;0;2;0;2;3;36;2;6;3;3;0;3;11;0;9;0;212
Silva Jardim;Baixadas Litorâneas;2022;2;0;0;2;0;2;2;8;1;2;1;1;0;1;5;0;9;0;62
Sumidouro;Centro Fluminense;2022;0;0;0;0;0;0;0;7;0;1;1;0;0;0;3;0;0;0;30
Tanguá;Metropolitana do Rio de Janeiro;2022;0;0;0;0;1;1;0;7;1;4;0;3;1;3;5;3;0;0;62
Teresópolis;Centro Fluminense;2022;3;0;0;3;0;3;0;46;6;43;11;24;11;6;48;7;10;0;540
Trajano de Moraes;Centro Fluminense;2022;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;15
Três Rios;Centro Fluminense;2022;2;0;0;2;0;2;6;25;5;48;19;26;4;0;48;6;22;0;336
Valença;Sul Fluminense;2022;1;0;0;1;0;1;3;24;1;54;29;16;9;1;28;2;6;0;201
Varre-Sai;Noroeste Fluminense;2022;0;0;0;0;0;0;0;4;1;1;1;0;0;0;0;0;0;0;19
Vassouras;Centro Fluminense;2022;0;0;0;0;0;0;0;10;1;31;23;5;4;1;10;0;2;0;127
Volta Redonda;Sul Fluminense;2022;5;0;0;5;1;6;6;89;5;45;5;32;9;6;55;12;12;1;829
Angra dos Reis;Sul Fluminense;2022;5;0;0;5;2;7;14;50;7;25;5;18;2;3;32;3;15;1;397
Aperibé;Noroeste Fluminense;2022;0;0;0;0;0;0;0;9;1;5;3;1;1;0;1;0;0;0;22
Araruama;Baixadas Litorâneas;2022;3;0;0;3;0;3;3;27;2;15;1;13;1;10;26;2;8;0;447
Areal;Centro Fluminense;2022;0;0;0;0;0;0;0;4;1;3;1;2;0;0;1;0;2;0;24
Armação dos Búzios;Baixadas Litorâneas;2022;1;0;0;1;0;1;2;20;3;13;3;7;3;0;10;1;5;0;196
Arraial do Cabo;Baixadas Litorâneas;2022;0;0;0;0;0;0;1;16;1;20;9;7;4;0;13;3;4;0;124
Barra do Piraí;Sul Fluminense;2022;1;0;0;1;0;1;4;19;1;38;19;10;9;0;21;5;5;1;248
Barra Mansa;Sul Fluminense;2022;4;0;0;4;0;4;3;33;3;20;2;18;0;7;49;3;15;0;500
Belford Roxo;Metropolitana do Rio de Janeiro;2022;22;0;0;22;9;31;8;127;12;14;0;13;1;28;57;6;28;0;1286
Bom Jardim;Centro Fluminense;2022;1;0;0;1;0;1;0;8;2;7;4;0;3;0;2;3;1;0;58
Bom Jesus do Itabapoana;Noroeste Fluminense;2022;0;0;0;0;0;0;0;7;1;15;12;3;1;0;6;0;5;0;70
